datetime_start,datetime_end,duration_seconds,window_title,user_state
2025-06-10 21:04:39,2025-06-10 21:04:41,2,Reloj,Active Work
2025-06-10 21:04:41,2025-06-10 21:11:27,406,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 21:11:27,2025-06-10 21:11:45,18,Time Management - Windsurf - window_logs.csv,Active Work
2025-06-10 21:11:45,2025-06-10 21:19:12,447,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 21:19:12,2025-06-10 21:19:13,1,New Tab - Google Chrome,Active Work
2025-06-10 21:19:13,2025-06-10 21:19:14,1,x.com - Google Chrome,Active Work
2025-06-10 21:19:14,2025-06-10 21:20:02,48,Home / X - Google Chrome,Active Work
2025-06-10 21:20:02,2025-06-10 21:20:08,6,"yashaswi. on X: ""learn - websockets - redis - docker and k8s - load balancers and circuit breakers - mqs - logging and discovery you'll thank yourself."" / X - Google Chrome",Active Work
2025-06-10 21:20:08,2025-06-10 21:20:10,2,redis - Google Search - Google Chrome,Active Work
2025-06-10 21:20:10,2025-06-10 21:20:18,8,"yashaswi. on X: ""learn - websockets - redis - docker and k8s - load balancers and circuit breakers - mqs - logging and discovery you'll thank yourself."" / X - Google Chrome",Active Work
2025-06-10 21:20:18,2025-06-10 21:20:21,3,mqs - Google Search - Google Chrome,Active Work
2025-06-10 21:20:21,2025-06-10 21:20:31,10,"yashaswi. on X: ""learn - websockets - redis - docker and k8s - load balancers and circuit breakers - mqs - logging and discovery you'll thank yourself."" / X - Google Chrome",Active Work
2025-06-10 21:20:31,2025-06-10 21:20:37,6,Home / X - Google Chrome,Active Work
2025-06-10 21:20:37,2025-06-10 21:20:40,3,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 21:20:40,2025-06-10 21:20:41,1,Inbox (208) - krishandheredia@gmail.com - Gmail - Google Chrome,Active Work
2025-06-10 21:20:41,2025-06-10 21:21:23,41,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 21:21:23,2025-06-10 21:21:37,14,Home / X - Google Chrome,Active Work
2025-06-10 21:21:37,2025-06-10 21:28:53,436,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 21:28:53,2025-06-10 21:28:55,2,Reloj,Active Work
2025-06-10 21:28:55,2025-06-10 21:28:56,1,WhatsApp,Active Work
2025-06-10 21:28:56,2025-06-10 21:40:19,683,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 21:40:19,2025-06-10 21:40:30,11,Time Management - Windsurf - window_logs.csv,Active Work
2025-06-10 21:40:30,2025-06-10 21:53:50,800,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 21:53:50,2025-06-10 21:53:59,9,Home / X - Google Chrome,Active Work
2025-06-10 21:53:59,2025-06-10 21:55:34,95,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 21:55:34,2025-06-10 21:56:50,76,WhatsApp,Active Work
2025-06-10 21:56:50,2025-06-10 22:02:27,337,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 22:02:27,2025-06-10 22:03:24,57,Home / X - Google Chrome,Active Work
2025-06-10 22:03:24,2025-06-10 22:06:03,159,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 22:06:03,2025-06-10 22:06:12,9,Home / X - Google Chrome,Active Work
2025-06-10 22:06:12,2025-06-10 22:07:03,51,Window Monitoring System Design - Claude - Google Chrome,Active Work
2025-06-10 22:07:03,2025-06-10 22:07:09,6,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 22:07:09,2025-06-10 22:07:10,1,Working file - Cartas de Motivación Ganadoras de becas - Google Sheets - Google Chrome,Active Work
2025-06-10 22:07:10,2025-06-10 22:07:11,1,Guía de Prompts para Creación de Proyectos de Impacto - Google Chrome,Active Work
2025-06-10 22:07:11,2025-06-10 22:07:15,4,Pricing - Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 22:07:15,2025-06-10 22:07:30,15,Scholarship Mastery Accelerator 🚀🎓🌍 - Google Chrome,Active Work
2025-06-10 22:07:30,2025-06-10 22:07:31,1,Search,Active Work
2025-06-10 22:07:31,2025-06-10 22:07:34,3,Reloj,Active Work
2025-06-10 22:07:34,2025-06-10 22:07:35,1,Window Monitoring System Design - Claude - Google Chrome,Active Work
2025-06-10 22:07:35,2025-06-10 22:07:39,3,Window Monitor,Active Work
2025-06-10 22:07:39,2025-06-10 22:07:40,1,Time Management - Windsurf - window_logs.csv,Active Work
2025-06-10 22:07:40,2025-06-10 22:07:45,5,Window Monitor,Active Work
2025-06-10 22:07:45,2025-06-10 22:08:05,20,Time Management - Windsurf - window_logs.csv,Active Work
2025-06-10 22:08:05,2025-06-10 22:08:08,3,YouTube - Google Chrome,Active Work
2025-06-10 22:08:08,2025-06-10 22:08:09,1,Natanael Cano || BZRP Music Sessions #59 - YouTube - Google Chrome,Active Work
2025-06-10 22:08:09,2025-06-10 22:08:51,42,Post Malone - Better Now (Official Video) - YouTube - Google Chrome,Active Work
2025-06-10 22:08:51,2025-06-10 22:08:53,2,Jump List for Google Chrome,Active Work
2025-06-10 22:08:53,2025-06-10 22:08:54,1,,Active Work
2025-06-10 22:08:54,2025-06-10 22:08:59,5,Window Monitor,Active Work
2025-06-10 22:08:59,2025-06-10 22:09:23,24,Post Malone - Better Now (Official Video) - YouTube - Google Chrome,Active Work
2025-06-10 22:09:23,2025-06-10 22:09:35,12,Name this window,Active Work
2025-06-10 22:09:35,2025-06-10 22:09:40,5,Post Malone - Better Now (Official Video) - YouTube - Google Chrome,Active Work
2025-06-10 22:09:40,2025-06-10 22:09:41,1,Snap Assist,Active Work
2025-06-10 22:09:41,2025-06-10 22:09:46,5,Página principal - Google Drive - Google Chrome,Active Work
2025-06-10 22:09:46,2025-06-10 22:09:48,2,Post Malone - Better Now (Official Video) - YouTube - Google Chrome,Active Work
2025-06-10 22:09:48,2025-06-10 22:09:49,1,New Tab - Google Chrome,Active Work
2025-06-10 22:09:49,2025-06-10 22:09:52,3,Home / X - Google Chrome,Active Work
2025-06-10 22:09:52,2025-06-10 22:09:57,5,Post Malone - Better Now (Official Video) - YouTube - Google Chrome,Active Work
2025-06-10 22:09:57,2025-06-10 22:10:21,24,Name this window,Active Work
2025-06-10 22:10:21,2025-06-10 22:10:28,7,Entertainment,Active Work
2025-06-10 22:10:28,2025-06-10 22:10:36,8,Página principal - Google Drive - Google Chrome,Active Work
2025-06-10 22:10:36,2025-06-10 22:10:40,4,Entertainment,Active Work
2025-06-10 22:10:40,2025-06-10 22:11:18,38,Página principal - Google Drive - Google Chrome,Active Work
2025-06-10 22:11:18,2025-06-10 22:11:20,2,Task Switching,Active Work
2025-06-10 22:11:20,2025-06-10 22:11:23,3,Entertainment,Active Work
2025-06-10 22:11:23,2025-06-10 22:12:00,37,Página principal - Google Drive - Google Chrome,Active Work
2025-06-10 22:12:00,2025-06-10 22:12:01,1,,Active Work
2025-06-10 22:12:01,2025-06-10 22:12:09,8,Entertainment,Active Work
2025-06-10 22:12:09,2025-06-10 22:12:10,1,,Active Work
2025-06-10 22:12:10,2025-06-10 22:12:44,34,Entertainment,Active Work
2025-06-10 22:12:44,2025-06-10 22:12:45,1,WhatsApp,Active Work
2025-06-10 22:12:45,2025-06-10 22:12:47,2,Entertainment,Active Work
2025-06-10 22:12:47,2025-06-10 22:13:00,13,Reloj,Active Work
2025-06-10 22:13:00,2025-06-10 22:15:02,122,Time Management - Windsurf - window_logs.csv,Active Work
2025-06-10 22:15:02,2025-06-10 22:16:15,73,Time Management - Windsurf - unique_windows.txt,Active Work
2025-06-10 22:16:15,2025-06-10 22:16:16,1,,Active Work
2025-06-10 22:16:16,2025-06-10 22:16:20,4,Entertainment,Active Work
2025-06-10 22:16:20,2025-06-10 22:16:24,4,Task Switching,Active Work
2025-06-10 22:16:24,2025-06-10 22:16:25,1,Entertainment,Active Work
2025-06-10 22:16:25,2025-06-10 22:16:27,2,Task Switching,Active Work
2025-06-10 22:16:27,2025-06-10 22:16:33,6,Entertainment,Active Work
2025-06-10 22:16:33,2025-06-10 22:16:40,7,Time Management - Windsurf - window_check.py,Active Work
2025-06-10 22:16:40,2025-06-10 22:16:41,1,Window Monitor,Active Work
2025-06-10 22:16:40,2025-06-10 22:16:41,1,Window Monitor,Active Work
2025-06-10 22:24:28,2025-06-10 22:24:31,3,N/A,Pacing
2025-06-10 22:24:31,2025-06-10 22:24:34,3,Window Monitor,Active Work
2025-06-10 22:24:34,2025-06-10 22:24:37,3,Time Management - Windsurf - gui.py,Active Work
2025-06-10 22:24:37,2025-06-10 22:24:40,3,Time Management - Windsurf - window_logs.csv,Active Work
2025-06-10 22:24:40,2025-06-10 22:24:41,1,Time Management - Windsurf - unique_windows.txt,Active Work
2025-06-10 22:24:41,2025-06-10 22:25:35,54,Time Management - Windsurf - window_logs.csv,Active Work
2025-06-10 22:25:35,2025-06-10 22:25:41,6,Entertainment,Active Work
2025-06-10 22:25:41,2025-06-10 22:25:43,2,Reloj,Active Work
2025-06-10 22:25:43,2025-06-10 22:26:21,38,Entertainment,Active Work
2025-06-10 22:26:21,2025-06-10 22:26:23,2,krishanheredia97/screen_tracker - Google Chrome,Active Work
2025-06-10 22:26:23,2025-06-10 22:27:02,39,Reloj,Active Work
2025-06-10 22:27:02,2025-06-10 22:27:03,1,krishanheredia97/screen_tracker - Google Chrome,Active Work
